food_id,Composition,Calories,Protein,Fat,Carbohydrate,Sugar,Grade_food
2003,"SPICES,BASIL,DRIED",233,22.98,4.07,47.75,1.71,0
2008,"CHERVIL,DRIED",237,23.2,3.9,49.1,0.0,0
2017,"DILL WEED,DRIED",253,19.96,4.36,55.82,0.0,0
15018,"COD,ATLANTIC,DRIED&SALTED",290,62.82,2.37,0.0,0.0,0
15178,"WHELK,UNSPEC,CKD,MOIST HEAT",275,47.68,0.8,15.52,0.0,0
20077,"WHEAT BRAN,CRUDE",216,15.55,4.25,64.51,0.41,0
31019,"SEAWEED,CANADIAN CULTIVATED EMI-TSUNOMATA,DRY",259,15.34,1.39,46.24,0.0,0
35079,"WALRUS,MEAT,DRIED (ALASKA NATIVE)",251,57.0,2.6,0.0,0.0,0
35161,"CARIBOU,SHLDR MEAT,DRIED (ALASKA NATIVE)",271,59.38,3.67,0.0,0.0,0
35175,"SEAL,BEARDED (OOGRUK),MEAT,PART DRIED (ALASKA NATIVE)",270,62.38,2.31,0.0,0.0,0
