food_id,Composition,Calories,Protein,Fat,Carbohydrate,Sugar,Grade_food
3209,"BABYFOOD,CRACKERS,VEG",477,8.4,19.6,66.85,13.0,2
6720,"SAUCE,CHS SAU MIX,DRY",438,7.68,18.33,60.52,10.26,2
18010,"BISCUITS,PLN OR BTTRMLK,DRY MIX",428,8.0,15.4,63.4,11.65,2
18177,"COOKIES,MOLASSES",430,5.6,12.8,73.8,17.6,2
18223,"CRACKERS,MILK",446,7.6,13.77,71.73,10.32,2
18232,"CRACKERS,WHEAT,REGULAR",455,7.3,16.4,70.73,15.48,2
18950,"CRACKERS,WHEAT,RED FAT",444,9.34,13.37,71.52,15.01,2
18962,"CRACKERS,CRM,LA MODERNA RIKIS CRM CRACKERS",464,7.19,19.5,64.88,10.41,2
18987,"AUSTIN,CHEDDAR CHS ON CHS CRACKERS,SANDWICH-TYPE,RED FAT",461,7.8,17.5,68.0,14.6,2
18989,"AUSTIN,PNUT BUTTER ON TOASTY CRACKERS,SANDWICH-TYPE,RED FAT",463,9.5,18.0,67.2,11.8,2
19049,"SNACKS,M&M MARS,COMBOS SNACKS CHEDDAR CHS PRETZEL",463,9.85,16.92,66.5,17.6,2
21388,"FAST FOODS,MINIATURE CINN ROLLS",403,7.02,17.95,53.38,17.98,2
28066,"KEEBLER,CLUB,MINIS MULTIGRAIN CRACKERS",470,7.3,19.8,67.4,10.7,2
28069,"KEEBLER,CLUB,RED FAT CRACKERS",441,6.1,13.9,73.1,10.1,2
28146,"KEEBLER,TOWN HOUSE,TOPPERS,MULTIGRAIN CRACKERS",462,7.6,18.5,68.4,13.7,2
28161,"KELLOGG'S,ALL-BRAN,MULTIGRAIN CRACKERS",415,8.6,20.0,65.7,12.9,2
28308,"CRACKERS,STD SNACK-TYPE,W/ WHL WHEAT",463,7.29,17.84,68.37,10.43,2
28314,"CRACKERS,SANDWICH-TYPE,PNUT BUTTER FILLED,RED FAT",437,8.33,16.67,63.49,11.11,2
28325,"CRACKERS,TOAST THINS,LO NA",442,6.45,16.13,67.66,12.9,2
42261,"CEREALS RTE,POST,GREAT GRAINS CRUNCHY PECAN CRL",403,9.0,10.5,73.0,15.4,2
